module_idx,module_name,category,source,description
2488,Mathlib.CategoryTheory.Enriched.FunctorCategory,CategoryTheory,name_tokens,category theory category theory enriched functor category
2489,Mathlib.CategoryTheory.Enriched.HomCongr,CategoryTheory,name_tokens,category theory category theory enriched hom congr
2490,Mathlib.CategoryTheory.Enriched.Limits.HasConicalLimits,CategoryTheory,name_tokens,category theory category theory enriched limits has conical limits
2491,Mathlib.CategoryTheory.Enriched.Limits.HasConicalProducts,CategoryTheory,name_tokens,category theory category theory enriched limits has conical products
2492,Mathlib.CategoryTheory.Enriched.Limits.HasConicalPullbacks,CategoryTheory,name_tokens,category theory category theory enriched limits has conical pullbacks
2493,Mathlib.CategoryTheory.Enriched.Limits.HasConicalTerminal,CategoryTheory,name_tokens,category theory category theory enriched limits has conical terminal
2494,Mathlib.CategoryTheory.Enriched.Opposite,CategoryTheory,name_tokens,category theory category theory enriched opposite
2495,Mathlib.CategoryTheory.Enriched.Ordinary.Basic,CategoryTheory,name_tokens,category theory category theory enriched ordinary basic
2496,Mathlib.CategoryTheory.EpiMono,CategoryTheory,name_tokens,category theory category theory epi mono
2497,Mathlib.CategoryTheory.EqToHom,CategoryTheory,name_tokens,category theory category theory eq to hom
2498,Mathlib.CategoryTheory.Equivalence,CategoryTheory,name_tokens,category theory category theory equivalence
2499,Mathlib.CategoryTheory.Equivalence.Symmetry,CategoryTheory,name_tokens,category theory category theory equivalence symmetry
